"file" "checksum" "built" "date"
"CODE_OF_CONDUCT.md" "c93c83c630db2fe2462240bf72552548" "site/built/CODE_OF_CONDUCT.md" "2022-08-05"
"LICENSE.md" "b24ebbb41b14ca25cf6b8216dda83e5f" "site/built/LICENSE.md" "2023-04-07"
"config.yaml" "b2447e7379ceaa2b1aac0ffcc24a4e6f" "site/built/config.yaml" "2024-11-04"
"index.md" "34399a5e151cea103c92aa7767f4c118" "site/built/index.md" "2024-09-13"
"links.md" "8184cf4149eafbf03ce8da8ff0778c14" "site/built/links.md" "2022-04-22"
"episodes/1-introduction-ai-coding.md" "951acd1777380cd493b510fd6bf78e5a" "site/built/1-introduction-ai-coding.md" "2024-11-24"
"episodes/2-code-generation-optimization.md" "3295755817c616e63da4611a380fcd8f" "site/built/2-code-generation-optimization.md" "2024-11-22"
"episodes/3-ethical-and-security-considerations.md" "c34b48aa43b4a0137f96eb2ddda07021" "site/built/3-ethical-and-security-considerations.md" "2024-11-24"
"instructors/instructor-notes.md" "d96cb9e76302dee237d0897fb5c1b1a7" "site/built/instructor-notes.md" "2024-09-13"
"learners/reference.md" "86cca05410972bf6feb3e65095c6c89b" "site/built/reference.md" "2024-10-23"
"learners/setup.md" "b6275978ed6848db07bfcd3dd29fae28" "site/built/setup.md" "2024-11-22"
"profiles/learner-profiles.md" "60b93493cf1da06dfd63255d73854461" "site/built/learner-profiles.md" "2022-04-22"
